opcode,mnem,op_enc,ops,prefs,feature_flag,exceptions
EVEX.NDS.128.66.0F.W1 54 /r,VANDPD,FV,xmm {k1}{z}:mew; xmm:mer; xmm/m128/m64bcst:mer,,AVX512VL; AVX512DQ,UD; GPS; AC; PFS
EVEX.NDS.256.66.0F.W1 54 /r,VANDPD,FV,ymm {k1}{z}:mew; ymm:mer; ymm/m256/m64bcst:mer,,AVX512VL; AVX512DQ,UD; GPS; AC; PFS
EVEX.NDS.512.66.0F.W1 54 /r,VANDPD,FV,zmm {k1}{z}:mew; zmm:mer; zmm/m512/m64bcst:mer,,AVX512DQ,UD; GPS; AC; PFS
0F 54 /r,ANDPS,RM,xmm:merw; xmm/m128:mer,pref67:operand/1,SSE,UD; GPS; AC; PFS
VEX.NDS.128.0F 54 /r,VANDPS,RVM,xmm:mew; xmm:mer; xmm/m128:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
VEX.NDS.256.0F 54 /r,VANDPS,RVM,ymm:mew; ymm:mer; ymm/m256:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
EVEX.NDS.128.0F.W0 54 /r,VANDPS,FV,xmm {k1}{z}:mew; xmm:mer; xmm/m128/m32bcst:mer,,AVX512VL; AVX512DQ,UD; GPS; AC; PFS
EVEX.NDS.256.0F.W0 54 /r,VANDPS,FV,ymm {k1}{z}:mew; ymm:mer; ymm/m256/m32bcst:mer,,AVX512VL; AVX512DQ,UD; GPS; AC; PFS
EVEX.NDS.512.0F.W0 54 /r,VANDPS,FV,zmm {k1}{z}:mew; zmm:mer; zmm/m512/m32bcst:mer,,AVX512DQ,UD; GPS; AC; PFS
0F 55 /r,ANDNPD,RM,xmm:merw; xmm/m128:mer,pref67:operand/1; pref66:mandatory/1,SSE2,UD; GPS; AC; PFS
VEX.NDS.128.66.0F 55 /r,VANDNPD,RVM,xmm:mew; xmm:mer; xmm/m128:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
VEX.NDS.256.66.0F 55 /r,VANDNPD,RVM,ymm:mew; ymm:mer; ymm/m256:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
EVEX.NDS.128.66.0F.W1 55 /r,VANDNPD,FV,xmm {k1}{z}:mew; xmm:mer; xmm/m128/m64bcst:mer,,AVX512VL; AVX512DQ,UD; GPS; AC; PFS
EVEX.NDS.256.66.0F.W1 55 /r,VANDNPD,FV,ymm {k1}{z}:mew; ymm:mer; ymm/m256/m64bcst:mer,,AVX512VL; AVX512DQ,UD; GPS; AC; PFS
EVEX.NDS.512.66.0F.W1 55 /r,VANDNPD,FV,zmm {k1}{z}:mew; zmm:mer; zmm/m512/m64bcst:mer,,AVX512DQ,UD; GPS; AC; PFS
0F 55 /r,ANDNPS,RM,xmm:merw; xmm/m128:mer,pref67:operand/1,SSE,UD; GPS; AC; PFS
VEX.NDS.128.0F 55 /r,VANDNPS,RVM,xmm:mew; xmm:mer; xmm/m128:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
VEX.NDS.256.0F 55 /r,VANDNPS,RVM,ymm:mew; ymm:mer; ymm/m256:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
EVEX.NDS.128.0F.W0 55 /r,VANDNPS,FV,xmm {k1}{z}:mew; xmm:mer; xmm/m128/m32bcst:mer,,AVX512VL; AVX512DQ,UD; GPS; AC; PFS
EVEX.NDS.256.0F.W0 55 /r,VANDNPS,FV,ymm {k1}{z}:mew; ymm:mer; ymm/m256/m32bcst:mer,,AVX512VL; AVX512DQ,UD; GPS; AC; PFS
EVEX.NDS.512.0F.W0 55 /r,VANDNPS,FV,zmm {k1}{z}:mew; zmm:mer; zmm/m512/m32bcst:mer,,AVX512DQ,UD; GPS; AC; PFS
0F 3A 0D /r ib,BLENDPD,RMI,xmm:merw; xmm/m128:mer; imm8:mer,pref67:operand/1; pref66:mandatory/1,SSE4_1,UD; GPS; AC; PFS
VEX.NDS.128.66.0F3A.WIG 0D /r ib,VBLENDPD,RVMI,xmm:mew; xmm:mer; xmm/m128:mer; imm8:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
